significance,iter,fold,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0.05,1.5,4.5,0.04578757721345228,0.5118698105254783,0.3003214904980121,0.8258162984429755,154.0516998875818,97.4470548963391,250.79432423064446
0.1,1.5,4.5,0.09959391443605578,0.3248257045583474,0.19019433817444426,0.5265996533549905,98.11718284104775,62.27302441884554,159.96296977179833
0.2,1.5,4.5,0.20159288492335845,0.1640693260768432,0.09624937633282096,0.26514680705508764,49.42931678196933,31.36507787304659,80.56728256436021
0.3,1.5,4.5,0.3016729581331503,0.08106494646916604,0.047523198522399904,0.13059984577386566,24.487411909892643,15.548386089057903,39.801693220609344
0.4,1.5,4.5,0.40175875085792734,0.0632538952977493,0.03705272560620596,0.10152912199364676,19.03809330198154,12.095572005556022,30.911032462572244
0.5,1.5,4.5,0.5045498741706703,0.05498435241849133,0.032186150039850224,0.08815707188424977,16.535574152666356,10.509302208690787,26.869375926561826
0.6,1.5,4.5,0.6027739647677877,0.048905686984533195,0.028615295635699423,0.07835610226557581,14.703988746431197,9.345454583214778,23.8848899383916
0.7,1.5,4.5,0.7009980553649051,0.043086749293826075,0.02522656682119597,0.06904854191380665,12.956599701934795,8.237976967273724,21.047988082856662
0.8,1.5,4.5,0.8088538091969799,0.03629018775765806,0.021254543475086925,0.058197721414131376,10.912677207766134,6.944323949007267,17.727839939720365
0.9,1.5,4.5,0.9052876916037521,0.027032900245046322,0.015840862447942257,0.04339738522233373,8.135304544680185,5.176398957244879,13.195502216897097
